['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kB_read', 'kB_wrtn'],P.Read,Power const.,P.Write,P.Idle,%idle,Idle const,Total Power
sda,17,1152,47196,1152,47196,1451.5,1.26,59467,677.5,56.46,0.6,60918.5
sda,82,6656,27892,6656,27892,8386.6,1.26,35143.9,776.9,64.74,0.6,43530.5
sda,23,2048,55768,2048,55768,2580.5,1.26,70267.7,805.1,67.09,0.6,72848.2
sda,16,1024,48092,1024,48092,1290.2,1.26,60595.9,786.0,65.5,0.6,61886.2
sda,23,2176,51588,2176,51588,2741.8,1.26,65000.9,703.2,58.6,0.6,67742.6
sda,58,6528,31772,6528,31772,8225.3,1.26,40032.7,746.6,62.22,0.6,48258
sda,26,1536,50792,1536,50792,1935.4,1.26,63997.9,760.1,63.34,0.6,65933.3
sda,8,0,62848,0,62848,0,1.26,79188.5,623.9,51.99,0.6,79188.5
sda,85,7296,18020,7296,18020,9193,1.26,22705.2,692.2,57.68,0.6,31898.2
sda,29,2688,55896,2688,55896,3386.9,1.26,70429,793.0,66.08,0.6,73815.8
sda,7,0,57472,0,57472,0,1.26,72414.7,794.9,66.24,0.6,72414.7
sda,35,3456,51616,3456,51616,4354.6,1.26,65036.2,651.5,54.29,0.6,69390.7
sda,52,5760,32000,5760,32000,7257.6,1.26,40320,697.8,58.15,0.6,47577.6
sda,24,2176,52112,2176,52112,2741.8,1.26,65661.1,800.0,66.67,0.6,68402.9
sda,8,0,61504,0,61504,0,1.26,77495,837.0,69.75,0.6,77495
sda,75,7040,24696,7040,24696,8870.4,1.26,31117,687.5,57.29,0.6,39987.4
sda,24,2176,50520,2176,50520,2741.8,1.26,63655.2,788.0,65.67,0.6,66397
sda,8,0,56128,0,56128,0,1.26,70721.3,793.0,66.08,0.6,70721.3
sda,35,3840,42212,3840,42212,4838.4,1.26,53187.1,606.1,50.51,0.6,58025.5
sda,63,7168,33856,7168,33856,9031.7,1.26,42658.6,714.6,59.55,0.6,51690.2
sda,12,512,56144,512,56144,645.1,1.26,70741.4,839.4,69.95,0.6,71386.6
sda,23,2048,60992,2048,60992,2580.5,1.26,76849.9,866.2,72.18,0.6,79430.4
sda,77,7296,19016,7296,19016,9193,1.26,23960.2,796.9,66.41,0.6,33153.1
sda,29,2944,51320,2944,51320,3709.4,1.26,64663.2,656.2,54.68,0.6,68372.6
sda,7,0,60992,0,60992,0,1.26,76849.9,861.8,71.82,0.6,76849.9
