['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kb_read', 'kB_wrtn'],P.Read,Power const.,P.Write,P.Idle,% idle,Idle const,Total Power
sda,232,13540,3228,13540,3228,17060.4,1.26,4067.3,5803.2,48.36,0.6,26930.9
sda,98,5368,22076,5368,22076,6763.7,1.26,27815.8,3548.4,29.57,0.6,38127.8
sda,239,9852,12,9852,12,12413.5,1.26,15.1,3015.6,25.13,0.6,15444.2
sda,214,12084,1292,12084,1292,15225.8,1.26,1627.9,2334.0,19.45,0.6,19187.8
sda,198,11252,0,11252,0,14177.5,1.26,0.0,3630.0,30.25,0.6,17807.5
sda,226,8876,20104,8876,20104,11183.8,1.26,25331.0,4503.6,37.53,0.6,41018.4
sda,76,1120,37700,1120,37700,1411.2,1.26,47502.0,1360.8,11.34,0.6,50274.0
sda,132,4828,10200,4828,10200,6083.3,1.26,12852.0,987.6,8.23,0.6,19922.9
sda,160,10468,0,10468,0,13189.7,1.26,0.0,4957.2,41.31,0.6,18146.9
sda,232,9408,10292,9408,10292,11854.1,1.26,12967.9,5473.2,45.61,0.6,30295.2
sda,204,13300,0,13300,0,16758.0,1.26,0.0,4945.2,41.21,0.6,21703.2
sda,169,10268,36,10268,36,12937.7,1.26,45.4,5190.0,43.25,0.6,18173.0
sda,117,4984,14108,4984,14108,6279.8,1.26,17776.1,7068.0,58.9,0.6,31123.9
sda,278,8436,0,8436,0,10629.4,1.26,0.0,5190.0,43.25,0.6,15819.4
sda,304,14928,4732,14928,4732,18809.3,1.26,5962.3,5954.4,49.62,0.6,30726.0
sda,190,10820,0,10820,0,13633.2,1.26,0.0,5730.0,47.75,0.6,19363.2
sda,245,11980,4572,11980,4572,15094.8,1.26,5760.7,4210.8,35.09,0.6,25066.3
sda,104,7468,12,7468,12,9409.7,1.26,15.1,6891.6,57.43,0.6,16316.4
sda,259,9756,16924,9756,16924,12292.6,1.26,21324.2,6546.0,54.55,0.6,40162.8
sda,176,7976,0,7976,0,10049.8,1.26,0.0,4734.0,39.45,0.6,14783.8
